V,Vdet,Idet ,led is on,log I,31.11934524,-87.88059914,log I stimata,error,,chi sq,,Vdetapprox,errVdet,Idetapprox,errIdet
0.5,0.499,3.00E-08,,-17.32206846,,,-72.35204587,3028.298414,,0.08779143911,,0.499,0.002,0.03,0.05
1,0.999,8.00E-08,,-16.3412392,,,-56.79237325,1636.294246,,,,0.999,0.002,0.08,0.05
1.5,1.499,1.20E-07,,-15.93577409,,,-41.23270063,639.9344921,,,,1.499,0.003,0.12,0.05
2,1.999,1.60E-07,,-15.64809202,,,-25.67302801,100.4993416,,,,1.999,0.003,0.16,0.05
2.1,2.099,1.70E-07,,-15.5874674,,,-22.56109349,48.63146078,,,,2.099,0.003,0.17,0.05
2.2,2.2,1.90E-07,,-15.47624176,,,-19.41803962,15.5377703,,,,2.200,0.003,0.19,0.05
2.3,2.299,2.60E-07,,-15.16258421,,,-16.33722444,1.379779674,,,,2.299,0.003,0.26,0.05
2.4,2.399,1.74E-06,threshold,-13.26162544,,,-13.22528991,0.001320270824,,,,2.399,0.003,1.74,0.05
2.41,2.409,2.33E-06,,-12.96964229,,,-12.91409646,0.003085339141,,,,2.409,0.003,2.33,0.05
2.42,2.419,3.16E-06,,-12.66493853,,,-12.60290301,0.003848405937,,,,2.419,0.003,3.16,0.05
2.43,2.428,4.33E-06,,-12.34994302,,,-12.3228289,0.0007351751956,,,,2.428,0.003,4.33,0.05
2.44,2.438,5.95E-06,,-12.03211934,,,-12.01163545,0.000419589716,,,,2.438,0.003,5.95,0.05
2.45,2.448,8.19E-06,,-11.71259666,,,-11.700442,0.0001477358394,,,,2.448,0.003,8.19,0.05
2.46,2.458,1.13E-05,,-11.39247931,,,-11.38924854,0.00001043785847,,,,2.458,0.003,11.28,0.06
2.47,2.467,1.55E-05,,-11.07660789,,,-11.10917444,0.00106057978,,,,2.467,0.003,15.47,0.06
2.48,2.477,2.12E-05,,-10.76339795,,,-10.79798098,0.001195986232,,,,2.477,0.003,21.16,0.06
2.49,2.486,2.86E-05,,-10.46385362,,,-10.51790688,0.002921754466,,,,2.486,0.003,28.55,0.06
2.5,2.495,3.84E-05,,-10.1669324,,,-10.23783277,0.005026862453,,,,2.495,0.003,38.42,0.07
2.51,2.504,5.10E-05,,-9.883096863,,,-9.957758663,0.005574384451,,,,2.504,0.003,51.03,0.08
2.52,2.512,6.65E-05,,-9.61830861,,,-9.708803901,0.00818939772,,,,2.512,0.003,66.50,0.08
2.53,2.52,8.45E-05,,-9.378285763,,,-9.45984914,0.006652584419,,,,2.520,0.003,84.54,0.09
2.54,2.528,1.06E-04,,-9.154149092,,,-9.210894378,0.003220027401,,,,2.528,0.003,105.8,0.1
2.55,2.535,1.30E-04,,-8.947976108,,,-8.993058961,0.002032463672,,,,2.535,0.003,130.0,0.1
2.56,2.542,1.59E-04,,-8.747865009,,,-8.775223544,0.0007484894423,,,,2.542,0.003,158.8,0.1
2.57,2.549,1.89E-04,,-8.572705901,,,-8.557388128,0.0002346341938,,,,2.549,0.003,189.2,0.1
2.58,2.556,2.23E-04,,-8.41022397,,,-8.339552711,0.004994426925,,,,2.556,0.003,222.6,0.2
2.59,2.562,2.59E-04,,-8.260614864,,,-8.152836639,0.01161614569,,,,2.562,0.003,258.5,0.2
2.6,2.568,2.97E-04,,-8.12346334,,,-7.966120568,0.02475674775,,,,2.568,0.003,296.5,0.2
