V battery,Vdet,I detected (A),Rbox,R detected,RV,Idetapprox,Rboxapprox,Rdetapprox,RVapprox,V battery,Vdetu,I detected (A),Rboxu,R detected,R A,Idetapproxu,Rboxapproxu,Rdetapproxu,RAapproxu
0.25,0.246,2.47E-05,1.00E+04,9.96E+03,2.46E+06,24.70,0.01,0.01,2.46,0.25,0.248,2.32E-03,1,1.07E+02,1.06E+02,2.32,0.001,0.107,0.106
0.25,0.247,1.24E-05,2.00E+04,1.99E+04,3.29E+06,12.43,0.02,0.02,3.29,0.25,0.248,2.31E-03,2,1.07E+02,1.05E+02,2.31,0.002,0.107,0.105
0.25,0.248,4.98E-06,5.00E+04,4.98E+04,1.24E+07,4.98,0.05,0.05,12.40,0.25,0.248,2.23E-03,5,1.11E+02,1.06E+02,2.23,0.005,0.111,0.106
0.25,0.248,2.51E-06,1.00E+05,9.90E+04,9.92E+06,2.51,0.10,0.10,9.92,0.25,0.248,2.11E-03,10,1.18E+02,1.08E+02,2.11,0.010,0.118,0.108
0.25,0.248,1.26E-06,2.00E+05,1.98E+05,1.65E+07,1.26,0.20,0.20,16.53,0.25,0.248,1.95E-03,20,1.27E+02,1.07E+02,1.95,0.020,0.127,0.107
0.25,0.248,5.15E-07,5.00E+05,4.82E+05,1.31E+07,0.52,0.50,0.48,13.05,0.25,0.248,1.58E-03,50,1.57E+02,1.07E+02,1.58,0.050,0.157,0.107
0.25,0.248,2.70E-07,1.00E+06,9.19E+05,1.13E+07,0.27,1.00,0.92,11.27,0.25,0.248,1.22E-03,100,2.04E+02,1.04E+02,1.22,0.100,0.204,0.104
0.25,0.248,1.40E-07,2.00E+06,1.67E+06,1.02E+07,0.14,2.00,1.67,10.20,0.25,0.248,8.16E-04,200,3.04E+02,1.04E+02,0.82,0.200,0.304,0.104
0.25,0.248,7.00E-08,5.00E+06,3.34E+06,1.01E+07,0.07,5.00,3.34,10.10,0.25,0.248,4.13E-04,500,6.01E+02,1.01E+02,0.41,0.500,0.601,0.101
0.25,0.248,4.50E-08,1.00E+07,5.03E+06,1.01E+07,0.05,10.00,5.03,10.10,0.25,0.248,2.26E-04,1000,1.10E+03,9.84E+01,0.23,1.000,1.098,0.098
0.5,0.494,4.97E-05,1.00E+04,9.95E+03,1.98E+06,49.65,0.01,0.01,1.98,0.25,0.248,1.19E-04,2000,2.09E+03,9.28E+01,0.12,2.000,2.093,0.093
0.5,0.496,2.50E-05,2.00E+04,1.99E+04,2.92E+06,24.97,0.02,0.02,2.92,0.25,0.248,4.88E-05,5000,5.08E+03,8.41E+01,0.05,5.000,5.084,0.084
0.5,0.498,1.00E-05,5.00E+04,4.98E+04,1.24E+07,10.00,0.05,0.05,12.45,0.25,0.248,2.46E-05,1.00E+04,1.01E+04,7.72E+01,0.02,10.000,10.077,0.077
0.5,0.498,5.03E-06,1.00E+05,9.90E+04,9.96E+06,5.03,0.10,0.10,9.96,0.5,0.499,4.70E-03,1,1.06E+02,1.05E+02,4.70,0.001,0.106,0.105
0.5,0.499,2.52E-06,2.00E+05,1.98E+05,2.00E+07,2.52,0.20,0.20,19.96,0.5,0.499,4.70E-03,2,1.06E+02,1.04E+02,4.70,0.002,0.106,0.104
0.5,0.499,1.03E-06,5.00E+05,4.84E+05,1.56E+07,1.03,0.50,0.48,15.59,0.5,0.499,4.53E-03,5,1.10E+02,1.05E+02,4.53,0.005,0.110,0.105
0.5,0.499,5.30E-07,1.00E+06,9.42E+05,1.61E+07,0.53,1.00,0.94,16.10,0.5,0.499,4.34E-03,10,1.15E+02,1.05E+02,4.34,0.010,0.115,0.105
0.5,0.499,2.90E-07,2.00E+06,1.67E+06,1.02E+07,0.29,2.00,1.67,10.20,0.5,0.499,4.02E-03,20,1.24E+02,1.04E+02,4.02,0.020,0.124,0.104
0.5,0.499,1.40E-07,5.00E+06,3.34E+06,1.01E+07,0.14,5.00,3.34,10.10,0.5,0.499,3.21E-03,50,1.55E+02,1.05E+02,3.21,0.050,0.155,0.105
0.5,0.499,9.50E-08,1.00E+07,5.03E+06,1.01E+07,0.10,10.00,5.03,10.10,0.5,0.499,2.43E-03,100,2.05E+02,1.05E+02,2.43,0.100,0.205,0.105
0.75,0.741,7.45E-05,1.00E+04,9.95E+03,2.06E+06,74.46,0.01,0.01,2.06,0.5,0.499,1.63E-03,200,3.05E+02,1.05E+02,1.63,0.200,0.305,0.105
0.75,0.744,3.75E-05,2.00E+04,1.99E+04,2.98E+06,37.45,0.02,0.02,2.98,0.5,0.499,8.30E-04,500,6.01E+02,1.01E+02,0.83,0.500,0.601,0.101
