x,y,Vx,Vy
0,0,0,0
0,3,0,0.94
0,6,0,1.52
0,9,0,2.034
0,12,0,2.508
0,15,0,2.99
0,18,0,3.46
0,21,0,3.963
0,24,0,4.62
0,25,0,5.016
3,0,0,0
3,3,0.121,1.054
3,6,0.044,1.544
3,9,0.01,2.009
3,12,0.005,2.475
3,15,-0.007,2.952
3,18,-0.02,3.44
3,21,-0.032,3.943
3,24,-0.075,4.532
3,25,0,5.019
6,0,0,0
6,3,0.284,1.217
6,6,0.0977,1.6
6,9,0.036,2.062
6,12,0.004,2.514
6,15,-0.028,2.946
6,18,-0.052,3.399
6,21,-0.116,3.851
6,24,-0.286,4.271
6,25,0,5.019
9,0,0,0
9,3,0.362,1.268
9,6,0.142,1.647
9,9,0.046,2.062
9,12,0.004,2.5
9,15,-0.04,2.959
9,18,-0.063,3.384
9,21,-0.176,3.798
9,24,-0.387,4.144
9,25,0,5.019
12,0,0,0
12,3,0.338,1.234
12,6,0.139,1.619
12,9,0.052,2.04
12,12,0.011,2.466
12,15,-0.037,2.92
12,18,-0.07,3.353
12,21,-0.169,3.765
12,24,-0.405,4.09
12,25,0,5.02
15,0,0,0
15,3,0.236,1.168
15,6,0.11,1.604
15,9,0.023,2.05
15,12,0.007,2.506
15,15,-0.016,2.959
15,18,-0.047,3.415
15,21,-0.135,3.854
15,24,-0.289,4.28
15,25,0,5.02
18,0,0,0
18,3,0.114,1.018
18,6,0.067,1.542
18,9,0.016,2.03
18,12,0.013,2.498
18,15,-0.012,2.953
18,18,-0.019,3.422
18,21,-0.035,3.928
18,24,-0.058,4.536
18,25,0,5.02
20,0,0,0
20,3,0.082,0.995
20,6,0.055,1.543
20,9,0.022,2.026
20,12,0.025,2.495
20,15,-0.001,2.943
20,18,-0.001,3.432
20,21,-0.012,3.966
20,24,-0.034,4.594
20,25,0,5.02
